date_ist,minute_bucket_ist,run_id,symbol,expiry_used,strike,call_oi,call_coi,put_oi,put_coi,row_status,call_vol,call_iv,call_ltp,call_chg,call_buy_qty,call_sell_qty,put_vol,put_iv,put_ltp,put_chg,put_buy_qty,put_sell_qty
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24200,18339,0,81815,0,OK,390,0,469,38.8,439270,26260,10600,14.35,17.25,-7.35,4365270,112645
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24250,2876,0,33862,0,OK,83,0,426.6,35.95,175630,17420,4478,14.26,21.85,-8.85,2991040,79495
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24300,15794,0,59603,0,OK,776,0,376.95,31.75,441805,41470,7974,14.26,27.8,-11.35,3892785,118690
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24350,4697,0,21651,0,OK,328,0,339,33.2,212290,33280,4220,14.41,34.75,-14.35,2846675,116480
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24400,25256,0,64024,0,OK,2185,0,298,30.8,828750,69420,7874,14.33,43.5,-17.3,4151745,150280
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24450,9210,0,23662,12,OK,1520,0,258.75,25.85,411450,32565,4106,14.48,54.6,-21.1,2580435,88660
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24500,64618,0,79188,0,OK,9293,5.7,219.8,19.4,2326025,251225,10411,14.79,69.35,-24.15,5543460,211705
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24550,39572,0,30951,0,OK,8806,7.05,189.25,17.75,1787955,155025,6753,14.91,84.75,-28.6,3643380,101335
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24600,121838,0,77502,0,OK,23776,7.9,157.25,13.35,6283485,686010,15195,15.34,105.8,-30.55,5974605,121940
2026-08-06 00:00:00,2026-08-06 09:15:00,1,NIFTY,2026-08-11 00:00:00,24650,69634,0,21897,0,OK,19146,8.45,132.8,12.75,4602845,448370,7772,15.81,128.85,-33.15,3403725,63505
