date_ist,minute_bucket_ist,run_id,symbol,nse_status,spot,Δspot,call_oi_sum,Δcall_oi,put_oi_sum,Δput_oi,call_coi_sum,Δcall_coi,put_coi_sum,Δput_coi,net_diff,expected_move,churn,commitment,tv_ratio,tv_ratio_z,top_call_write_strike,top_call_write_score,top_put_write_strike,top_put_write_score,top_call_unwind_strike,top_call_unwind_score,top_put_unwind_strike,top_put_unwind_score,bucket_epoch_ms,expiry_used,atm_strike,overlap_strikes,d_call_oi_aligned,d_put_oi_aligned,call_oi_prev_aligned,put_oi_prev_aligned,call_oi_pct_aligned,put_oi_pct_aligned,d_net_oi_1m,total_vol_cum,d_total_vol_1m,d_total_vol_5m,atm_call_ltp,atm_put_ltp,d_atm_call_ltp_1m,d_atm_put_ltp_1m,d_atm_call_vol_1m,d_atm_put_vol_1m,call_wall_above,put_wall_below,call_wall_above_oi,put_wall_below_oi,d_call_wall_oi_5m,d_put_wall_oi_5m,call_wall_oi_pct_5m,put_wall_oi_pct_5m,d_expected_move_1m,d_expected_move_5m,expected_move_z,strict_call_wall,strict_call_wall_oi,strict_put_wall,strict_put_wall_oi,strict_call_wall_dist,strict_put_wall_dist
2026-08-07 00:00:00,2026-08-07 09:15:00,1,NIFTY,OK,24551.1,0,705245,0,802730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786074350305,2026-08-11 00:00:00,24550,0,0,0,0,0,0,0,0,27061996,0,0,0,0,0,0,0,0,24700,24500,128178,89613,0,0,0,0,0,0,0,24700,128178,24200,87737,148.9,351.1
2026-08-07 00:00:00,2026-08-07 09:16:00,2,NIFTY,OK,24585.2,34.10000000000218,846966,5651,792975,1946,7116,7116,1951,1951,-3705,251.89999999999998,0,0,0.3508771929824559,0,24550,44606.85,0,0,0,0,24650,25514.6,1786074410298,2026-08-11 00:00:00,24600,16,5651,1946,704200,779982,0.008024708889520022,0.0024949293701649524,7597,557328,0,0,137.1,114.8,137.1,114.8,0,0,25000,24600,137115,130993,0,0,0,0,251.89999999999998,0,0,25000,137115,24500,90386,414.8,85.2
2026-08-07 00:00:00,2026-08-07 09:17:00,3,NIFTY,OK,24587.8,2.599999999998545,954349,107383,893700,100725,114499,107383,102676,100725,-6658,254.89999999999998,0.4896618000929629,0.2383694010182127,0.352914652622466,0,24600,1191329.7,0,0,0,0,24700,106545.7,1786074469825,2026-08-11 00:00:00,24600,17,107383,100725,846966,792975,0.12678549079892226,0.12702165894258963,208108,1462247,904919,904919,138.2,116.7,1.0999999999999943,1.9000000000000057,87766,94178,25000,24600,138145,153768,0,0,0,0,3,0,0,25000,138145,24500,113369,412.2,87.8
2026-08-07 00:00:00,2026-08-07 09:18:00,4,NIFTY,OK,24587.8,0,954349,0,893700,0,114499,0,102676,0,0,254.89999999999998,0.4896618000929629,0.2383694010182127,0.352914652622466,0,24600,1191329.7,0,0,0,0,24700,106545.7,1786074529741,2026-08-11 00:00:00,24600,17,0,0,954349,893700,0,0,0,1462247,0,904919,138.2,116.7,0,0,0,0,25000,24600,138145,153768,0,0,0,0,0,0,0,25000,138145,24500,113369,412.2,87.8
2026-08-07 00:00:00,2026-08-07 09:19:00,5,NIFTY,OK,24591.85,4.049999999999272,1000051,45702,955343,61643,160201,45702,164319,61643,15941,256.45,0.6952552784758468,0.23762447609338153,0.3530310382631514,0.5042241516945292,24600,1757520,0,0,0,0,24700,78571.04999999999,1786074591377,2026-08-11 00:00:00,24600,17,45702,61643,954349,893700,0.04788814154989422,0.06897504755510797,107345,1916826,454579,1359498,138.5,117.95,0.30000000000001137,1.25,47007,55442,24700,24600,140605,175291,0,0,0,0,1.5500000000000114,0,0,24700,140605,24500,123942,108.15,91.85
2026-08-07 00:00:00,2026-08-07 09:20:00,6,NIFTY,OK,24591.85,0,1000051,0,955343,0,160201,0,164319,0,0,256.45,0.6952552784758468,0.23762447609338153,0.3530310382631514,0.45083882109858403,24600,1757520,0,0,0,0,24700,78571.04999999999,1786074649562,2026-08-11 00:00:00,24600,17,0,0,1000051,955343,0,0,0,1916826,0,1359498,138.5,117.95,0,0,0,0,24700,24600,140605,175291,12427,0,0.0969511148559035,0,0,0,0.9208516889704673,24700,140605,24500,123942,108.15,91.85
2026-08-07 00:00:00,2026-08-07 09:21:00,7,NIFTY,OK,24595.3,3.4500000000007276,1030025,29974,991283,35940,190175,29974,200259,35940,5966,257.45,0.8981209197212894,0.21007569218328515,0.3545145109279828,0.42146762324433534,24600,2101669.8000000003,0,0,0,0,24700,54645.8,1786074712115,2026-08-11 00:00:00,24600,17,29974,35940,1000051,955343,0.0299724714039584,0.037619996168915246,65914,2372707,455881,1815379,138.4,119.05,-0.09999999999999432,1.0999999999999943,46066,58893,24700,24600,143495,186524,0,55531,0,0.42392341575504033,1,5.550000000000011,1.180529995438472,24700,143495,24500,129005,104.7,95.3
2026-08-07 00:00:00,2026-08-07 09:22:00,8,NIFTY,OK,24602.45,7.150000000001455,1030025,0,991283,0,190175,0,200259,0,0,257.25,0.49304757117668363,0.17384991586402182,0.3541392138407064,0.3871900172497107,24600,2124957,0,0,0,0,24700,54970.3,1786074769988,2026-08-11 00:00:00,24600,17,0,0,1030025,991283,0,0,0,2458848,86141,996601,138,119.25,-0.4000000000000057,0.20000000000000284,9263,10185,24700,24600,143495,186524,0,32756,0,0.21302221528536497,-0.19999999999998863,2.3500000000000227,0.9172924583134295,24700,143495,24500,129005,97.55,102.45
2026-08-07 00:00:00,2026-08-07 09:23:00,9,NIFTY,OK,24604.65,2.2000000000007276,1041653,11628,1007396,16113,201803,11628,216372,16113,4485,261.35,0.6215468736960414,0.15782283013238274,0.3597932467717004,0.40643574176457187,24600,1855504.75,0,0,0,0,24700,23253.75,1786074830111,2026-08-11 00:00:00,24600,17,11628,16113,1030025,991283,0.01128904638236936,0.01625469215148449,27741,2735827,276979,1273580,144.25,117.1,6.25,-2.1500000000000057,43454,23916,24600,24600,146461,190507,0,36739,0,0.23892487383590863,4.100000000000023,6.4500000000000455,1.986850918413049,24700,144689,24500,131285,95.35,104.65
2026-08-07 00:00:00,2026-08-07 09:24:00,10,NIFTY,OK,24617.25,12.599999999998545,1063441,21788,1045806,38410,223591,21788,254782,38410,16622,263.25,0.5712038466808297,0.12769897328209429,0.36007324063262924,0.3847624760812918,24600,1718442,0,0,0,0,0,0,1786074890372,2026-08-11 00:00:00,24600,17,21788,38410,1041653,1007396,0.020916754427818093,0.038128005273000885,60198,3121636,385809,1204810,147.5,115.75,3.25,-1.3499999999999943,44564,42825,24700,24600,149805,203790,9200,28499,0.0654315280395434,0.1625810794621515,1.8999999999999773,6.800000000000011,1.9070849820882148,24700,149805,24500,134360,82.75,117.25
