date_ist,entry_bucket_ist,exit_bucket_ist,symbol,side,strike,expiry_token,setup,entry_confidence,qty,entry_opt_ltp,exit_opt_ltp,hold_min,realized_pct,realized_pts,mfe_pct,mfe_opt_ltp,mfe_bucket_ist,mae_pct,mae_opt_ltp,mae_bucket_ist,exit_reason
2026-08-07 00:00:00,2026-08-07 09:51:00,2026-08-07 10:13:00,NIFTY,CALL,24550,26721,BREAKOUT_UP,82,65,181.7,165.85,22,-8.72,-15.85,2.09,185.5,2026-08-07 09:55:00,-8.72,165.85,2026-08-07 10:13:00,SIGNAL_FLIP ENTRY_PUT (conf 78)
2026-08-07 00:00:00,2026-08-07 10:13:00,2026-08-07 10:16:00,NIFTY,PUT,24600,26721,BREAKOUT_DOWN,78,65,122.1,122.4,3,0.25,0.3,0.25,122.4,2026-08-07 10:16:00,-1.64,120.1,2026-08-07 10:15:00,SWITCH PUT|24650|26721
2026-08-07 00:00:00,2026-08-07 10:16:00,2026-08-07 10:19:00,NIFTY,PUT,24650,26721,BREAKOUT_DOWN,60,65,148.4,156.25,3,5.29,7.85,5.29,156.25,2026-08-07 10:19:00,0,148.4,2026-08-07 10:16:00,SWITCH PUT|24600|26721
2026-08-07 00:00:00,2026-08-07 10:19:00,2026-08-07 10:30:00,NIFTY,PUT,24600,26721,BREAKOUT_DOWN,78,65,129.15,134.1,11,3.83,4.95,3.83,134.1,2026-08-07 10:30:00,-0.93,127.95,2026-08-07 10:21:00,SWITCH PUT|24550|26721
2026-08-07 00:00:00,2026-08-07 10:30:00,2026-08-07 11:29:00,NIFTY,PUT,24550,26721,BREAKOUT_DOWN,82,65,110.4,102.4,59,-7.25,-8,5.16,116.1,2026-08-07 11:06:00,-7.25,102.4,2026-08-07 11:29:00,SIGNAL_FLIP ENTRY_CALL (conf 70)
2026-08-07 00:00:00,2026-08-07 11:29:00,2026-08-07 11:31:00,NIFTY,CALL,24600,26721,BREAKOUT_UP,70,65,130.05,126.85,2,-2.46,-3.2,0,130.05,2026-08-07 11:29:00,-2.46,126.85,2026-08-07 11:31:00,REGIME_OPPOSITE persisted 2m
2026-08-07 00:00:00,2026-08-07 12:15:00,2026-08-07 12:47:00,NIFTY,PUT,24600,26721,BREAKOUT_DOWN,72,65,144.5,127.75,32,-11.59,-16.75,1.73,147,2026-08-07 12:17:00,-11.59,127.75,2026-08-07 12:47:00,SIGNAL_FLIP ENTRY_CALL (conf 72)
2026-08-07 00:00:00,2026-08-07 12:47:00,2026-08-07 13:24:00,NIFTY,CALL,24550,26721,PIN_BREAK,72,65,145,139,37,-4.14,-6,0.34,145.5,2026-08-07 12:48:00,-8.93,132.05,2026-08-07 13:19:00,SWITCH CALL|24500|26721
2026-08-07 00:00:00,2026-08-07 13:24:00,2026-08-07 13:51:00,NIFTY,CALL,24500,26721,BREAKOUT_UP,74,65,168.25,178.1,27,5.85,9.85,5.85,178.1,2026-08-07 13:51:00,-5.29,159.35,2026-08-07 13:34:00,SWITCH CALL|24600|26721
2026-08-07 00:00:00,2026-08-07 13:51:00,2026-08-07 13:58:00,NIFTY,CALL,24600,26721,BREAKOUT_UP,78,65,119.8,105.15,7,-12.23,-14.65,1.38,121.45,2026-08-07 13:53:00,-12.23,105.15,2026-08-07 13:58:00,REGIME_OPPOSITE persisted 2m
2026-08-07 00:00:00,2026-08-07 14:35:00,2026-08-07 15:14:00,NIFTY,PUT,24600,26721,BULL_TRAP,64,65,134.35,106.05,39,-21.06,-28.3,1.38,136.2,2026-08-07 14:42:00,-21.06,106.05,2026-08-07 15:14:00,STOP_PREMIUM -21.06% <= -20%
